YEAR,RGDPPCG,INF,FD,FE,GFCF,D1983,D1985,D2007
1980,-4.527641445,9.8,0.02,0.79,15.7637791,0,0,0
1981,5.868568185,13.4,0.03,0.79,15.74321541,0,0,0
1982,1.389651003,10.4,0.02,0.65,17.63585917,0,0,0
1983,-5.214179059,14.2,0.02,0.52,19.47867299,0,0,0
1984,7.172614788,6.2,0.02,0.52,17.53490723,1,0,0
1985,3.747042862,4.1,0.03,0.52,20.84317177,1,0,0
1986,2.252528354,15.9,0.03,0.68,18.16811428,1,1,0
1987,-0.520327697,13.3,0.03,0.78,19.50864337,1,1,0
1988,5.323872638,11,0.03,0.78,19.92172262,1,1,0
1989,1.929843424,8.1,0.04,0.78,18.12051216,1,1,0
1990,2.086610833,8.9,0.04,0.78,16.12032954,1,1,0
1991,3.627338272,7.9,0.04,0.78,18.40049757,1,1,0
1992,1.324348789,21.1,0.04,0.78,19.17108013,1,1,0
1993,1.053883262,8.9,0.04,0.78,21.21902073,1,1,0
1994,5.382505909,9,0.05,0.82,21.09277771,1,1,0
1995,0.902048529,7.7,0.06,0.81,22.06912285,1,1,0
1996,2.876157775,7.2,0.06,0.8,22.53036201,1,1,0
1997,2.748901773,8.1,0.06,0.78,21.67243586,1,1,0
1998,0.902670803,8.3,0.07,0.72,21.73045921,1,1,0
1999,2.404788804,11.4,0.07,0.81,19.08249424,1,1,0
2000,4.287486107,3.4,0.08,0.81,19.32182309,1,1,0
2001,3.05231948,2.4,0.08,0.81,19.19511668,1,1,0
2002,-1.412581423,2.9,0.07,0.79,19.56477735,1,1,0
2003,2.472762204,4.7,0.08,0.54,19.92418194,1,1,0
2004,3.288699056,4,0.08,0.79,20.34116505,1,1,0
2005,2.172227072,4.5,0.09,0.82,19.94173855,1,1,0
2006,2.086993751,8,0.1,0.8,20.720886,1,1,0
2007,2.173376985,6.2,0.11,0.76,21.06778122,1,1,0
2008,4.974640788,6.7,0.14,0.8,21.87755162,1,1,1
2009,3.689462275,12.6,0.15,0.8,21.35434374,1,1,1
2010,4.313243158,9.6,0.15,0.77,22.20772753,1,1,1
2011,3.313879795,9.6,0.15,0.76,21.41476597,1,1,1
2012,4.98141892,8.3,0.16,0.75,20.76709635,1,1,1
2013,4.407231331,9.9,0.16,0.76,22.59406095,1,1,1
2014,6.032235943,9,0.17,0.75,23.51764136,1,1,1
2015,2.909442183,7.2,0.19,0.77,27.97092631,1,1,1
2016,-0.319386313,9.9,0.23,0.79,28.72822924,1,1,1
2017,6.789798196,4.5,0.24,0.78,31.43372638,1,1,1
2018,4.950696779,4.1,0.24,0.78,34.54785927,1,1,1
